INFO 2024-12-01 16:19:42,430 autoreload Watching for file changes with StatReloader
DEBUG 2024-12-01 16:19:42,656 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\db\backends\postgresql\operations.py first seen with mtime 1730590523.356855
DEBUG 2024-12-01 16:19:42,656 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\sqlparse\filters\others.py first seen with mtime 1730590520.2302215
DEBUG 2024-12-01 16:19:42,657 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1730590523.2893376
DEBUG 2024-12-01 16:19:42,657 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\contrib\admin\views\main.py first seen with mtime 1730590521.6804678
DEBUG 2024-12-01 16:19:42,657 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1730590523.3310764
DEBUG 2024-12-01 16:19:42,657 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\sqlparse\lexer.py first seen with mtime 1730590520.2232404
DEBUG 2024-12-01 16:19:42,657 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\db\models\fields\files.py first seen with mtime 1730590523.3788702
DEBUG 2024-12-01 16:19:42,657 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\contrib\admin\templatetags\log.py first seen with mtime 1730590521.6784625
DEBUG 2024-12-01 16:19:42,657 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\contextlib.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,657 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\contrib\sessions\backends\base.py first seen with mtime 1730590522.9503071
DEBUG 2024-12-01 16:19:42,657 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\contrib\contenttypes\apps.py first seen with mtime 1730590521.9983141
DEBUG 2024-12-01 16:19:42,657 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\forms\renderers.py first seen with mtime 1730590523.4003265
